Date,Forecast
2024-12-23,2550.839925138329
2024-12-24,2550.839925138329
2024-12-25,2550.839925138329
2024-12-26,2550.839925138329
2024-12-27,2550.839925138329
2024-12-30,2550.839925138329
2024-12-31,2550.839925138329
2025-01-01,2550.839925138329
2025-01-02,2550.839925138329
2025-01-03,2550.839925138329
2025-01-06,2550.839925138329
2025-01-07,2550.839925138329
2025-01-08,2550.839925138329
2025-01-09,2550.839925138329
2025-01-10,2550.839925138329
2025-01-13,2550.839925138329
2025-01-14,2550.839925138329
2025-01-15,2550.839925138329
2025-01-16,2550.839925138329
2025-01-17,2550.839925138329
2025-01-20,2550.839925138329
2025-01-21,2550.839925138329
2025-01-22,2550.839925138329
2025-01-23,2550.839925138329
2025-01-24,2550.839925138329
2025-01-27,2550.839925138329
2025-01-28,2550.839925138329
2025-01-29,2550.839925138329
2025-01-30,2550.839925138329
2025-01-31,2550.839925138329
